1,'Administrador do Sistema','','','','0000-00-00','','admin','2','inativo','administrador','','0000-00-00','0000-00-00','','','','','','2021-06-29 00:27:50'
2,'Mateus Danilo Baptista','22535019647','388269558','mateusdanilobaptista-73@redex.com.br','1970-03-16','91989779916','mateusdani','123','ativo','vendedor','19476791732','2021-04-01','0000-00-00','PA','66833115','Tapanã (Icoaraci)','Alameda Tocantins','772','2021-06-29 02:49:00'
3,'Francisco Luís da Costa','55824841837','429824671','franciscoluisdacosta-73@power.alstom.com','2000-09-09','8627739950','franciscol','123','ativo','estoquista','60390801422','2021-04-01','0000-00-00','PI','64028400','Santo Antônio','Rua Alison Rodrigues do Prado','471','2021-06-29 00:27:50'
4,'Rafael Ryan Almeida','64253789307','391108438','rafaelryanalmeida-76@santosferreira.abv.br','1950-08-18','6826336004','rafaelryan','123','ativo','estoquista','25499585955','2021-04-01','0000-00-00','AC','69900066','Centro','Rua Marechal Deodoro','725','2021-06-29 00:27:50'
5,'Cláudia Nina Isabella Moraes','99869847501','342477419','cclaudianinaisabellamoraes@victorseguros.com.br','1958-03-09','6325285848','cclaudiani','123','ativo','vendedor','95873845150','2021-04-01','0000-00-00','TO','77024758','Plano Diretor Sul','Quadra 1404 Sul Avenida NS 2','374','2021-06-29 02:49:05'
6,'Edson Guilherme Almeida','05021194380','337582798','edsonguilhermealmeida-90@alcoa.com.br','1954-10-01','6927948251','edsonguilh','123','ativo','estoquista','06249113499','2021-04-01','0000-00-00','RO','76828684','Jardim Santana','Rua Itaberaí','995','2021-06-29 00:27:50'
7,'Henry Calebe Duarte','48893936844','278823348','hhenrycalebeduarte@uol.com.bt','1954-12-14','8638893872','hhenrycale','123','ativo','estoquista','58784715620','2021-04-01','0000-00-00','PI','64200538','Mendonça Clark','Rua Vereador Afonso do Carmo','458','2021-06-29 00:27:50'
8,'Cláudia Luana Oliveira','47568811140','359373264','claudialuanaoliveira_@mavex.com.br','1989-04-05','9535792297','claudialua','123','ativo','vendedor','81919803500','2021-04-01','0000-00-00','RR','69309230','Buritis','Avenida dos Imigrantes','710','2021-06-29 02:49:10'
9,'Márcio Sérgio Bernardes','23434087699','258012547','marciosergiobernardes_@unimedara.com.br','1956-05-12','4937599591','marcioserg','123','ativo','estoquista','93138156093','2021-04-01','0000-00-00','SC','89802501','Jardim Itália','Rua Uruguai - D','405','2021-06-29 00:27:50'
10,'Leandro César Tomás Santos','35178833872','445223819','leandrocesartomassantos@mirabeau.art.br','1989-11-20','6827430614','leandroces','123','inativo','vendedor','87707671901','2021-04-01','0000-00-00','AC','69909790','Vila Acre','Ramal Bom Futuro','351','2021-06-29 02:49:17'
11,'Sebastião Igor Rodrigo Viana','51628268123','349325674','ssebastiaoigorrodrigoviana@dlh.de','1965-07-07','8237579084','ssebastiao','123','ativo','estoquista','08136549182','2021-04-01','0000-00-00','AL','57084083','Benedito Bentes','Rua Givaldo Carimbão','823','2021-06-29 00:27:50'
12,'Nathan Nicolas Lorenzo Pinto','81913630463','180440482','nathannicolaslorenzopinto@icloud.com','1948-06-21','8727310561','nathannico','123','inativo','vendedor','97230059433','2021-04-01','0000-00-00','PE','56506905','São Miguel','Avenida Coronel Antônio Japiassu 701','724','2021-06-29 02:49:22'
13,'Laís Heloise Caldeira','58847776120','446225666','laisheloisecaldeira-91@diclace.com.br','1972-02-02','2138303844','laishelois','123','ativo','vendedor','71462411612','2021-04-01','0000-00-00','RJ','24358165','Jurujuba','Forte Imbuí','958','2021-06-29 02:49:28'
14,'Adriana Olivia da Mata','11467021245','222503543','adrianaoliviadamata-86@jglima.com.br','1978-05-19','6925521692','adrianaoli','123','ativo','estoquista','53434927466','2021-04-01','0000-00-00','RO','76913633','São Pedro','Rua Santa Clara','198','2021-06-29 00:27:50'
15,'Cláudia Camila Gomes','84395608779','424159351','claudiacamilagomes@gringa360.com.br','2002-10-01','1136906634','claudiacam','123','ativo','estoquista','39259539290','2021-04-01','0000-00-00','SP','04571190','Cidade Monções','Rua José Muniz dos Santos','639','2021-06-29 00:27:50'
16,'Guilherme Carlos André Jesus','41898782270','276426344','guilhermecarlosandrejesus_@oul.com.br','1982-11-18','8437872819','guilhermec','123','ativo','vendedor','04681598975','2021-04-01','0000-00-00','RN','59035262','Quintas','2ª Vila Ramos','875','2021-06-29 02:49:35'
17,'Iago Filipe Paulo Dias','20547172907','454404037','iiagofilipepaulodias@regler.com.br','1954-04-23','9125156360','iiagofilip','123','ativo','vendedor','23317093761','2021-04-01','0000-00-00','PA','66120650','Sacramenta','Passagem Bons Irmãos','909','2021-06-29 02:49:41'
